"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\jibby\build\fitness-project\App.js", "JavaScript", 0, 23, 0, 4, 27
"c:\Users\jibby\build\fitness-project\Context.js", "JavaScript", 0, 25, 0, 3, 28
"c:\Users\jibby\build\fitness-project\DarkModeContext.js", "JavaScript", 0, 11, 0, 4, 15
"c:\Users\jibby\build\fitness-project\StackNavigator.js", "JavaScript", 0, 65, 0, 6, 71
"c:\Users\jibby\build\fitness-project\app.json", "JSON", 18, 0, 16, 0, 34
"c:\Users\jibby\build\fitness-project\babel.config.js", "JavaScript", 0, 6, 0, 1, 7
"c:\Users\jibby\build\fitness-project\components\FitnessCards.js", "JavaScript", 0, 56, 0, 4, 60
"c:\Users\jibby\build\fitness-project\data\fitness.js", "JavaScript", 0, 183, 0, 1, 184
"c:\Users\jibby\build\fitness-project\firebase\config.js", "JavaScript", 0, 18, 0, 4, 22
"c:\Users\jibby\build\fitness-project\package-lock.json", "JSON", 20301, 0, 0, 1, 20302
"c:\Users\jibby\build\fitness-project\package.json", "JSON", 39, 0, 0, 1, 40
"c:\Users\jibby\build\fitness-project\screens\FitScreen.js", "JavaScript", 0, 228, 0, 14, 242
"c:\Users\jibby\build\fitness-project\screens\HomeScreen.js", "JavaScript", 0, 109, 0, 11, 120
"c:\Users\jibby\build\fitness-project\screens\LoginScreen\LoginScreen.js", "JavaScript", 0, 73, 0, 4, 77
"c:\Users\jibby\build\fitness-project\screens\LoginScreen\styles.js", "JavaScript", 0, 56, 0, 2, 58
"c:\Users\jibby\build\fitness-project\screens\RegistrationScreen\RegistrationScreen.js", "JavaScript", 0, 152, 0, 7, 159
"c:\Users\jibby\build\fitness-project\screens\RegistrationScreen\styles.js", "JavaScript", 0, 56, 0, 2, 58
"c:\Users\jibby\build\fitness-project\screens\RestScreen.js", "JavaScript", 0, 53, 2, 6, 61
"c:\Users\jibby\build\fitness-project\screens\UserProfile\CalorieTrackerScreen.js", "JavaScript", 0, 139, 0, 9, 148
"c:\Users\jibby\build\fitness-project\screens\UserProfile\CreateWorkout.js", "JavaScript", 0, 316, 0, 21, 337
"c:\Users\jibby\build\fitness-project\screens\UserProfile\Dashboard.js", "JavaScript", 0, 237, 0, 15, 252
"c:\Users\jibby\build\fitness-project\screens\UserProfile\EditWorkout.js", "JavaScript", 0, 375, 0, 26, 401
"c:\Users\jibby\build\fitness-project\screens\UserProfile\UserExercises.js", "JavaScript", 0, 281, 2, 16, 299
"c:\Users\jibby\build\fitness-project\screens\UserProfile\UserScreen.js", "JavaScript", 0, 494, 9, 41, 544
"c:\Users\jibby\build\fitness-project\screens\UserProfile\ViewExercises.js", "JavaScript", 0, 329, 0, 20, 349
"c:\Users\jibby\build\fitness-project\screens\UserProfile\WeightTracker.js", "JavaScript", 0, 336, 0, 20, 356
"c:\Users\jibby\build\fitness-project\screens\UserProfile\WorkoutList.js", "JavaScript", 0, 290, 0, 21, 311
"c:\Users\jibby\build\fitness-project\screens\WorkoutScreen.js", "JavaScript", 0, 91, 1, 10, 102
"c:\Users\jibby\build\fitness-project\screens\index.js", "JavaScript", 0, 2, 0, 0, 2
"Total", "-", 20358, 4004, 30, 274, 24666
