"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\jibby\build\fitness-project\App.js", "JavaScript", 0, -23, 0, -4, -27
"c:\Users\jibby\build\fitness-project\Context.js", "JavaScript", 0, -25, 0, -3, -28
"c:\Users\jibby\build\fitness-project\DarkModeContext.js", "JavaScript", 0, -11, 0, -4, -15
"c:\Users\jibby\build\fitness-project\StackNavigator.js", "JavaScript", 0, -65, 0, -6, -71
"c:\Users\jibby\build\fitness-project\app.json", "JSON", -18, 0, -16, 0, -34
"c:\Users\jibby\build\fitness-project\babel.config.js", "JavaScript", 0, -6, 0, -1, -7
"c:\Users\jibby\build\fitness-project\components\FitnessCards.js", "JavaScript", 0, -56, 0, -4, -60
"c:\Users\jibby\build\fitness-project\data\fitness.js", "JavaScript", 0, -183, 0, -1, -184
"c:\Users\jibby\build\fitness-project\firebase\config.js", "JavaScript", 0, -18, 0, -4, -22
"c:\Users\jibby\build\fitness-project\package-lock.json", "JSON", -20301, 0, 0, -1, -20302
"c:\Users\jibby\build\fitness-project\package.json", "JSON", -39, 0, 0, -1, -40
"Total", "-", -20358, -387, -16, -29, -20790
