"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\jibby\build\fitness-project\screens\FitScreen.js", "JavaScript", 228, 0, 14, 242
"c:\Users\jibby\build\fitness-project\screens\HomeScreen.js", "JavaScript", 109, 0, 11, 120
"c:\Users\jibby\build\fitness-project\screens\LoginScreen\LoginScreen.js", "JavaScript", 73, 0, 4, 77
"c:\Users\jibby\build\fitness-project\screens\LoginScreen\styles.js", "JavaScript", 56, 0, 2, 58
"c:\Users\jibby\build\fitness-project\screens\RegistrationScreen\RegistrationScreen.js", "JavaScript", 152, 0, 7, 159
"c:\Users\jibby\build\fitness-project\screens\RegistrationScreen\styles.js", "JavaScript", 56, 0, 2, 58
"c:\Users\jibby\build\fitness-project\screens\RestScreen.js", "JavaScript", 53, 2, 6, 61
"c:\Users\jibby\build\fitness-project\screens\UserProfile\CalorieTrackerScreen.js", "JavaScript", 139, 0, 9, 148
"c:\Users\jibby\build\fitness-project\screens\UserProfile\CreateWorkout.js", "JavaScript", 316, 0, 21, 337
"c:\Users\jibby\build\fitness-project\screens\UserProfile\Dashboard.js", "JavaScript", 237, 0, 15, 252
"c:\Users\jibby\build\fitness-project\screens\UserProfile\EditWorkout.js", "JavaScript", 375, 0, 26, 401
"c:\Users\jibby\build\fitness-project\screens\UserProfile\UserExercises.js", "JavaScript", 281, 2, 16, 299
"c:\Users\jibby\build\fitness-project\screens\UserProfile\UserScreen.js", "JavaScript", 494, 9, 41, 544
"c:\Users\jibby\build\fitness-project\screens\UserProfile\ViewExercises.js", "JavaScript", 329, 0, 20, 349
"c:\Users\jibby\build\fitness-project\screens\UserProfile\WeightTracker.js", "JavaScript", 336, 0, 20, 356
"c:\Users\jibby\build\fitness-project\screens\UserProfile\WorkoutList.js", "JavaScript", 290, 0, 21, 311
"c:\Users\jibby\build\fitness-project\screens\WorkoutScreen.js", "JavaScript", 91, 1, 10, 102
"c:\Users\jibby\build\fitness-project\screens\index.js", "JavaScript", 2, 0, 0, 2
"Total", "-", 3617, 14, 245, 3876
